set_relative_P        	052	0.9029
set_recall            	052	0.9029
set_map               	052	0.2266
set_F                 	052	0.3928
num_nonrel_judged_ret 	052	0
num_ret               	053	1000
num_rel               	053	270
num_rel_ret           	053	251
map                   	053	0.4855
Rprec                 	053	0.5296
bpref                 	053	0.9296
recip_rank            	053	1.0000
iprec_at_recall_0.00  	053	1.0000
iprec_at_recall_0.10  	053	0.7143
iprec_at_recall_0.20  	053	0.6867
iprec_at_recall_0.30  	053	0.6165
iprec_at_recall_0.40  	053	0.5538
iprec_at_recall_0.50  	053	0.5378
iprec_at_recall_0.60  	053	0.4985
iprec_at_recall_0.70  	053	0.4395
iprec_at_recall_0.80  	053	0.3121
iprec_at_recall_0.90  	053	0.2751
iprec_at_recall_1.00  	053	0.0000
P_5                   	053	0.4000
P_10                  	053	0.6000
P_15                  	053	0.6667
P_20                  	053	0.7500
P_30                  	053	0.7000
P_100                 	053	0.6600
P_200                 	053	0.5500
P_500                 	053	0.4000
P_1000                	053	0.2510
relstring             	053	'1--1--1111'
recall_5              	053	0.0074
recall_10             	053	0.0222
recall_15             	053	0.0370
recall_20             	053	0.0556
recall_30             	053	0.0778
recall_100            	053	0.2444
recall_200            	053	0.4074
recall_500            	053	0.7407
recall_1000           	053	0.9296
infAP                 	053	0.4855
Rprec_mult_0.20       	053	0.7037
Rprec_mult_0.40       	053	0.6389
Rprec_mult_0.60       	053	0.5926
Rprec_mult_0.80       	053	0.5463
Rprec_mult_1.00       	053	0.5296
Rprec_mult_1.20       	053	0.4969
Rprec_mult_1.40       	053	0.4577
Rprec_mult_1.60       	053	0.4375
Rprec_mult_1.80       	053	0.4053
Rprec_mult_2.00       	053	0.3778
utility               	053	-498.0000
11pt_avg              	053	0.5122
binG                  	053	0.1629
G                     	053	0.1629
ndcg                  	053	0.8261
ndcg_rel              	053	0.6665
Rndcg                 	053	0.6884
ndcg_cut_5            	053	0.4852
ndcg_cut_10           	053	0.5876
ndcg_cut_15           	053	0.6355
ndcg_cut_20           	053	0.6965
ndcg_cut_30           	053	0.6756
ndcg_cut_100          	053	0.6574
ndcg_cut_200          	053	0.5710
ndcg_cut_500          	053	0.7039
ndcg_cut_1000         	053	0.8261
map_cut_5             	053	0.0056
map_cut_10            	053	0.0133
map_cut_15            	053	0.0230
map_cut_20            	053	0.0363
map_cut_30            	053	0.0530
map_cut_100           	053	0.1662
map_cut_200           	053	0.2638
map_cut_500           	053	0.4285
map_cut_1000          	053	0.4855
relative_P_5          	053	0.4000
relative_P_10         	053	0.6000
relative_P_15         	053	0.6667
relative_P_20         	053	0.7500
relative_P_30         	053	0.7000
relative_P_100        	053	0.6600
relative_P_200        	053	0.5500
relative_P_500        	053	0.7407
relative_P_1000       	053	0.9296
success_1             	053	1.0000
success_5             	053	1.0000
success_10            	053	1.0000
set_P                 	053	0.2510
set_relative_P        	053	0.9296
set_recall            	053	0.9296
set_map               	053	0.2333
set_F                 	053	0.3953
num_nonrel_judged_ret 	053	0
num_ret               	054	1000
num_rel               	054	92
num_rel_ret           	054	89
map                   	054	0.4112
Rprec                 	054	0.4130
bpref                 	054	0.9674
recip_rank            	054	1.0000
iprec_at_recall_0.00  	054	1.0000
iprec_at_recall_0.10  	054	0.7692
iprec_at_recall_0.20  	054	0.6129
iprec_at_recall_0.30  	054	0.5088
iprec_at_recall_0.40  	054	0.4318
iprec_at_recall_0.50  	054	0.3802
iprec_at_recall_0.60  	054	0.3478
iprec_at_recall_0.70  	054	0.3110
iprec_at_recall_0.80  	054	0.2313
iprec_at_recall_0.90  	054	0.1908
iprec_at_recall_1.00  	054	0.0000
P_5                   	054	0.8000
P_10                  	054	0.8000
P_15                  	054	0.6667
P_20                  	054	0.6500
P_30                  	054	0.6000
P_100                 	054	0.3900
P_200                 	054	0.3150
P_500                 	054	0.1720
P_1000                	054	0.0890
relstring             	054	'1-111-1111'
recall_5              	054	0.0435
recall_10             	054	0.0870
recall_15             	054	0.1087
recall_20             	054	0.1413
recall_30             	054	0.1957
recall_100            	054	0.4239
recall_200            	054	0.6848
recall_500            	054	0.9348
recall_1000           	054	0.9674
infAP                 	054	0.4112
Rprec_mult_0.20       	054	0.6842
Rprec_mult_0.40       	054	0.5676
Rprec_mult_0.60       	054	0.5000
Rprec_mult_0.80       	054	0.4459
Rprec_mult_1.00       	054	0.4130
Rprec_mult_1.20       	054	0.3964
Rprec_mult_1.40       	054	0.3721
Rprec_mult_1.60       	054	0.3446
Rprec_mult_1.80       	054	0.3373
Rprec_mult_2.00       	054	0.3315
utility               	054	-822.0000
11pt_avg              	054	0.4349
binG                  	054	0.2120
G                     	054	0.2120
ndcg                  	054	0.8063
ndcg_rel              	054	0.6519
Rndcg                 	054	0.6393
ndcg_cut_5            	054	0.7860
ndcg_cut_10           	054	0.7827
ndcg_cut_15           	054	0.6992
ndcg_cut_20           	054	0.6843
ndcg_cut_30           	054	0.6410
ndcg_cut_100          	054	0.4800
ndcg_cut_200          	054	0.6500
ndcg_cut_500          	054	0.7900
ndcg_cut_1000         	054	0.8063
map_cut_5             	054	0.0350
map_cut_10            	054	0.0680
map_cut_15            	054	0.0853
map_cut_20            	054	0.1083
map_cut_30            	054	0.1418
map_cut_100           	054	0.2547
map_cut_200           	054	0.3481
map_cut_500           	054	0.4066
map_cut_1000          	054	0.4112
relative_P_5          	054	0.8000
relative_P_10         	054	0.8000
relative_P_15         	054	0.6667
relative_P_20         	054	0.6500
relative_P_30         	054	0.6000
relative_P_100        	054	0.4239
relative_P_200        	054	0.6848
relative_P_500        	054	0.9348
relative_P_1000       	054	0.9674
success_1             	054	1.0000
success_5             	054	1.0000
success_10            	054	1.0000
set_P                 	054	0.0890
set_relative_P        	054	0.9674
set_recall            	054	0.9674
set_map               	054	0.0861
set_F                 	054	0.1630
num_nonrel_judged_ret 	054	0
num_ret               	055	1000
num_rel               	055	243
num_rel_ret           	055	225
map                   	055	0.4734
Rprec                 	055	0.5309
bpref                 	055	0.9259
recip_rank            	055	0.2000
iprec_at_recall_0.00  	055	0.6610
iprec_at_recall_0.10  	055	0.6610
iprec_at_recall_0.20  	055	0.6559
iprec_at_recall_0.30  	055	0.6471
iprec_at_recall_0.40  	055	0.6061
iprec_at_recall_0.50  	055	0.5495
iprec_at_recall_0.60  	055	0.4823
iprec_at_recall_0.70  	055	0.4572
iprec_at_recall_0.80  	055	0.3339
iprec_at_recall_0.90  	055	0.3000
iprec_at_recall_1.00  	055	0.0000
P_5                   	055	0.2000
P_10                  	055	0.3000
P_15                  	055	0.4000
P_20                  	055	0.5000
P_30                  	055	0.5667
P_100                 	055	0.6400
P_200                 	055	0.5750
P_500                 	055	0.3740
P_1000                	055	0.2250
relstring             	055	'----1--11-'
recall_5              	055	0.0041
recall_10             	055	0.0123
recall_15             	055	0.0247
recall_20             	055	0.0412
recall_30             	055	0.0700
recall_100            	055	0.2634
recall_200            	055	0.4733
recall_500            	055	0.7695
recall_1000           	055	0.9259
infAP                 	055	0.4734
Rprec_mult_0.20       	055	0.6122
Rprec_mult_0.40       	055	0.6531
Rprec_mult_0.60       	055	0.6096
Rprec_mult_0.80       	055	0.5744
Rprec_mult_1.00       	055	0.5309
Rprec_mult_1.20       	055	0.4795
Rprec_mult_1.40       	055	0.4633
